Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Non Stop Dhamaal,2023,N/A,18 Aug 2023,100 min,Comedy,Irshad Khan,"Irshad Khan, Vikas Kumar Vishwakarma","Annu Kapoor, Manoj Joshi, Rajpal Naurang Yadav","Satinder, a film director, teams with friend Amar, a writer, to find financing for a new film. A businessman named Khattri, companion to Jassu Bhai, offers support for a special reason.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BY2IxOTA4MjMtN2ZjZS00OWUxLTkyNWItMmQ5Y2QyYmNlNTE5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,[],N/A,N/A,"2,150",tt28364203,movie,N/A,N/A,N/A,N/A,True
Ishq-e-nadaan,2023,N/A,14 Jul 2023,155 min,"Drama, Romance",Avishek Ghosh,Sudeep Nigam,"Lara Dutta, Mohit Raina, Neena Gupta","Ashutosh's life changes when he meets Ramona at the hotel, which is his work place. On the other hand, Charulata grows friends with Subhash Kapoor, a filmmaker, and shares a secret with him. What is the secret?",Hindi,India,3 nominations,https://m.media-amazon.com/images/M/MV5BNDA0N2FmMDYtZWJmNC00YjA1LWIwNGItNTRkZjM5NTczNTMzXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,329,tt20872920,movie,N/A,N/A,N/A,N/A,True
Fitoor,2016,N/A,12 Feb 2016,131 min,"Drama, Romance",Abhishek Kapoor,"Charles Dickens, Abhishek Kapoor, Supratik Sen","Aditya Roy Kapoor, Katrina Kaif, Tabu","A poor but talented Kashmiri boy Noor, is hired as a stable-keeper by Begum. He is deeply infatuated with her daughter Firdaus. Begum notices his actions and sends Firdaus to London. She asks Noor to become successful in order to win Firdaus' love. When he grows up, he becomes one of the most successful young artist of India. But Begum has another plans to demolish his desires.","Urdu, Hindi",India,1 win & 13 nominations,https://m.media-amazon.com/images/M/MV5BOWVhMjhjZWUtYjNlYS00ZGE3LTg2NTMtM2RhNTE5NGM3YzZmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}]",N/A,5.4,"5,206",tt4399594,movie,03 Aug 2018,"$528,799",N/A,N/A,True
Andaz Apna Apna,1994,Not Rated,04 Nov 1994,160 min,"Action, Comedy, Romance",Rajkumar Santoshi,"Rajkumar Santoshi, Dilip Shukla","Aamir Khan, Salman Khan, Raveena Tandon",Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Hindi,India,4 nominations,https://m.media-amazon.com/images/M/MV5BNGVkODBlYmUtNTMzYi00MjEwLWI3YWUtODNlNjhkMTg4OWJiXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"55,050",tt0109117,movie,11 Mar 2017,N/A,N/A,N/A,True
Jawaani Jaaneman,2020,Not Rated,31 Jan 2020,119 min,"Comedy, Drama",Nitin Kakkar,"Hussain Dalal, Abbas Dalal, Juan Vera","Saif Ali Khan, Alaya F, Tabu","A carefree, middle-aged man who spends most of his time at parties with beautiful women, suddenly finds himself the father of a young girl. She introduces him to her `hippie` mother, and just when he thinks things can`t get worse his daughter delivers yet another shock that she is pregnant.",Hindi,India,4 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BNjY1OTI0NjEtNzRmZS00NzFlLTlhMTgtNjdmNWY2MDQ3YzIwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}]",N/A,6.5,"8,263",tt9248952,movie,30 Mar 2020,N/A,N/A,N/A,True
Batla House,2019,Not Rated,15 Aug 2019,146 min,"Action, Crime, Drama",Nikkhil Advani,Ritesh Shah,"Nora Fatehi, Mrunal Thakur, John Abraham","This action thriller is based on the real-life incident of 'Batla House Encounter', officially known as Operation Batla House, to the silver screen. The incident took place on September 19, 2008, against Indian Mujahideen (IM) terrorists in Batla House locality in Jamia Nagar, Delhi.",Hindi,India,1 nomination,https://m.media-amazon.com/images/M/MV5BYjY0YTZkZDMtNjBhOS00MTJkLTllODItYTAyMDY5ZjE0MjlkXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}]",N/A,7.2,"12,507",tt8869978,movie,21 Oct 2019,"$493,180",N/A,N/A,True
Gabbar Is Back,2015,Not Rated,01 May 2015,128 min,"Action, Crime, Drama",Radha Krishna Jagarlamudi,"A.R. Murugadoss, Rajat Arora, D.S. Kannan","Akshay Kumar, Shruti Haasan, Kareena Kapoor","Gabbar Singh Rajput (Akshay Kumar) creates his own vigilante military network called the Anti-Corruption Force (ACF) that eliminates the most corrupt individuals, from all walks of life, in a systematic manner. As pressure builds on Police and Government to track down the man who masterminds these killings, CBI Officer Kuldeep Pahwa (Jaideep Ahlawat) is specially summoned to head the task. He is aided by Sadhuram (Sunil Grover) who, though being just a constable in the mammoth Police force, is compelled by his instincts to see through the underlying design.",Hindi,India,3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjFhNDQ5NjEtNDE1ZS00YjYwLTgzMjItN2Y2M2RlMjNhZGI4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}]",N/A,7.0,"26,274",tt2424988,movie,30 Nov 2016,"$534,601",N/A,N/A,True
Partner,2007,Not Rated,20 Jul 2007,155 min,"Comedy, Drama, Romance",David Dhawan,"Shabbir Ahmed, Sanjay Chhel, David Dhawan","Salman Khan, Govinda, Lara Dutta","The only male child in the family that sired six daughters, Prem has empathy towards the fair sex and decides to assist males to woo women so much so that he becomes popular as the 'Love Guru'. Amongst the men he assists are Bhaskar Chaudhry and Neil Bakshi. Klutz-like Bhaskar has fallen head over heels with his boss, a model and heiress, Priya Jaisingh. A disbelieving Prem refuses to assist him, but subsequently relents. Bhaskar uses his own charm to woo Priya successfully, and is introduced to her dad, Raj. Prem himself falls in love with a widowed single mother, Naina Shahani, a Journalist. Both men are satisfied with her respective lives not knowing that a scandalous secret will surface in the media - changing their lives forever.",Hindi,India,2 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BYzMwMWY2Y2YtZGExMi00ZTAzLWI0MWItMjNhNWFmNmI2MzAyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"13,468",tt0807758,movie,26 Mar 2017,"$1,062,840",N/A,N/A,True
Awara Paagal Deewana,2002,Not Rated,21 Jun 2002,158 min,"Action, Comedy, Crime",Vikram Bhatt,"Anand S. Vardhan, Mangesh Kulkarni, Neeraj Vora","Akshay Kumar, Suniel Shetty, Aftab Shivdasani","Vikrant and Gulab Khatri are brothers-in-law who hate each other, and it is only through Vikrant's dad, who is also a mafia underworld don, that an uneasy peace is maintained. But when he passes away, a vengeful Vikrant frames Gulab in the murder of a politician, forcing Gulab to flee to the United States. Once there, Gulab hopes to re-build his life, but this thought is in vain as his neighbors, the Acharyas, find out about him and the reward offered for his arrest - and create a mini-hell for him - forcing him to show his true colors to them - colors that may well lead to the demise of the entire family.",Hindi,India,6 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BNjAwNTdhMTMtN2RmNS00YWRlLWIyMWEtMzAyMTE3NjgyZDZlXkEyXkFqcGdeQXVyMTY4MjU0NDY3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"9,100",tt0319020,movie,21 Mar 2018,N/A,N/A,N/A,True
A Flying Jatt,2016,Not Rated,25 Aug 2016,151 min,"Action, Adventure, Comedy",Remo D'Souza,"Remo D'Souza, Tushar Hiranandani, Aakash Kaushik","Tiger Shroff, Jacqueline Fernandez, Nathan Jones","Malhotra wants to acquire a land of Sikh colony for his factory which is owned by Mrs Dhillon known as Bebe however Bebe is in no mood to sell the land to him it also has a tree which is considered holy by the everyone.Malhotra threatens Bebe 's son Aman that her life would be in danger if she doesn't sell the land to him,Malhotra sends Raka to cut the tree.On a stormy night Aman sits near the holy tree praying for his mother he notices that Raka is cutting the tree a fight occurs between them after being beaten by Raka,Aman gets holy powers from the tree and fights back soon Aman turns a superhero known as Flying Jat who helps people in need whereas Raka turns into a toxic Monster who wants to pollute the environment.",Hindi,India,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMDZjNTdhOGMtYzZhZS00YmIyLThjZDctMThmYTRkYjVmNDJlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",N/A,3.1,"5,366",tt5235880,movie,16 Nov 2017,N/A,N/A,N/A,True
Rangeela,1995,Not Rated,08 Sep 1995,142 min,"Comedy, Drama, Musical",Ram Gopal Varma,"H. Banerjee, Sanjay Chhel, Ram Gopal Varma","Aamir Khan, Urmila Matondkar, Jackie Shroff","Mili is a middle class Indian, and like many would like to be rich and famous one day. She wants to be an Indian actress. She is friendly with another poor man named Munna, who she knows from her childhood. One day while she is singing and dancing on the beach, she is approached by a rich and famous movie actor, Raj, who wants her to act in his next movie. Raj has actually fallen in love with Mili and wants to get married to her. Mili finds her dreams coming true when she gets very famous. Will Mili marry Raj and live a life full of wealth and fame forever?",Hindi,India,6 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNmQxOWQ5NzgtMjVkNS00NDJiLTg1NzgtY2FkY2FlNzFjYTEwXkEyXkFqcGdeQXVyMTAxNjY4MzY2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"10,405",tt0114234,movie,30 Nov 2016,N/A,N/A,N/A,True
Jogi,2022,TV-MA,16 Sep 2022,116 min,"Drama, Thriller","Ali Abbas Zafar, Jatinkumar Jagdishbhai Patel","Sukhmani Sadana, Ali Abbas Zafar","Diljit Dosanjh, Kumud Mishra, Mohd. Zeeshan Ayyub","Amid tension in 1980s India, three friends of different faiths unite in a noble yet dangerous effort to save hundreds in their town.",Hindi,India,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BYzViZDcwNmEtYWNkNS00YzczLWJiYjQtOGExNDNmOTgzMGFjXkEyXkFqcGdeQXVyMTMyMjc4MDgz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,7.1,"6,282",tt21848358,movie,16 Sep 2022,N/A,N/A,N/A,True
Tadka,2022,N/A,04 Nov 2022,177 min,"Comedy, Drama, Romance",Prakash Raj,"Sagar Haveli, Surrya Menen, Dileesh Nair","Nana Patekar, Shriya Saran, Ali Fazal","A middle-aged Tukaram is passionate about food and archaeology but a misplaced call from Madhura that adds the tadka to his life. While love simmers, Nicole and Sidharth's story spices up too.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BNzhiNjAzNWQtYWI4MC00Y2YxLWJkYTEtODhkOTRmZTVjZjExXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"1,960",tt5705876,movie,N/A,N/A,N/A,N/A,True
Paheli,2005,Not Rated,24 Jun 2005,140 min,"Comedy, Drama, Fantasy",Amol Palekar,"Vijayadan Detha, Sandhya Gokhale, Amol Palekar","Shah Rukh Khan, Rani Mukerji, Anupam Kher","Parsimonious Bhanwarlal is a Bania (businessman) who lives in Navalgarh, Rajasthan, along with his wife; his sons Sunderlal and Kishanlal; Sunderlal is married to Gajrobai and has a son. During the annual camel race, Sunderlal loses the race to the Thakur and out of shame leaves home, never to return. Now Kishanlal has come of age and is married to Lachchi. But on the very next day of the marriage, he must leave for Jamnagar to expand business, and can return only after 5 years. A tearful Lachchi bids him goodbye, but to her pleasant surprise he returns within a few days, and informs his dad that he met a holy sage who had instructed him to return as he will find five gold coins every morning. Pleased with this, Bhanwarlal does not object to Kishanlal's return. After four years, it is now time for the camel race again, and this time Bhanwarlal's camel wins, much to the chagrin of the Thakur who suspects witchcraft. Then Lachchi gets pregnant and on the day of the child's birth the family finds out to their horror that there is an impostor who is claiming to be Kishanlal, and the husband of Lachchi. The family and the town are unable to decide who is real and who the impostor, as both look identical, so they decide to approach the king and do his bidding. The question remains, who is the second Kishanlal and what possible motive could he have for coming to claim Lachchi as his wife?",Hindi,India,5 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMjNmMDJjZWEtMTRjMS00YzMwLWI2NzMtYjY3YjA2NzY3ZWViXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",N/A,6.4,"14,231",tt0451850,movie,22 May 2017,"$1,409,499",N/A,N/A,True
Duplicate,1998,Not Rated,08 May 1998,164 min,"Action, Comedy, Crime",Mahesh Bhatt,"Robin Bhatt, Akash Khurana, Javed Siddiqui","Shah Rukh Khan, Juhi Chawla, Sonali Bendre","Bablu (Shah Rukh Khan), an aspiring chef, works in a hotel where Sonia Kapoor,(Juhi) works with him as banquet manager at the restaurant. His look-alike Manu (Shah Rukh Khan), a gangster, robs a bank along with his friend (Gulshan Grover) but gets caught. He comes out of prison and discovers that his cohort has double-crossed him. He murders his partner and escapes from the scene of the crime...without the money. Bablu stumbles on the money and keeps it. Manu's lover Lily (Sonali Bendre) mistakes Bablu to be Manu and spirits him away. Manu takes shelter in Bablu's house and realizes that he can use their resemblance to his advantage.Then starts the fun-ride with Babloo constantly being mistaken for Manu. With both Sonia and Lily after him, Manu furious and the Law taking him to be Manu, Babloo faces a tough time. And then, Manu kidnaps Bibi (Farida Jalal) Babloo's mother and holds her hostage.",Hindi,India,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BYzkyZGRkYjEtZGJlNS00YzQ4LWJiNWYtMThhM2VlMWJmMzRiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,"8,257",tt0164550,movie,17 Nov 2016,N/A,N/A,N/A,True
Radhe Shyam,2022,N/A,11 Mar 2022,138 min,"Drama, Romance",K.K. Radhakrishna Kumar,"Abbas Dalal, Hussain Dalal, Madhan Karky","Prabhas, Pooja Hegde, Bhagyashree Patwardhan","In 1976, Vikramaditya, a palmist and disciple of Paramahamsa, predicts to Indian Prime Minsiter Indira Gandhi that soon she will declare emergency in the country. The prediction comes true and he becomes famous but has to leave the country for the same. Two years later Vikramaditya is a renowned palmist in Italy and loves to travel all over. He returns to his house after a long time to be with his mother and friend Vedant. Vikramaditya does not believe in love and and has short relationships with females. During a train journey he meets Prerna and falls for her. Once Vikramaditya predicts future to a businessman Mahendra Rajput, for which he is not ready. His men chase him on road where he meets with accident and lands in the hospital where Prerna works as a doctor. Vikramaditya and Prerna fall in love but her uncle asks her to stay away from him. Once while traveling in a train Vikramaditya finds that all passengers in it have short life and the train will meet in an accident. He tries to save them but in vain. Prerna starts to believe in his predictions and asks him to check her palm and collapses in his arms. Her uncle tells Adithya that Prerna is suffering from rare tumor and has few months to live. But Vikramaditya tells that he has seen Prerna's palm and that she has long life ahead and that his prediction have never gone wrong.","Hindi, Telugu",India,N/A,https://m.media-amazon.com/images/M/MV5BNzQ0YTYzOWQtZTNjZi00NjQ0LWEzNDMtNjUxZGRjZmQ2NzBjXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,"31,586",tt8960382,movie,N/A,"$1,860,000",N/A,N/A,True
English Vinglish,2012,Not Rated,05 Oct 2012,134 min,"Comedy, Drama, Family",Gauri Shinde,Gauri Shinde,"Sridevi, Adil Hussain, Mehdi Nebbou","The story of a quiet, sweet tempered housewife who endures small slights from her well educated husband and daughter everyday because of her inability to speak and understand English. She is resourceful and open-minded but somehow these traits don't get noticed by them. Then one day on a trip to visit her sister in Manhattan she decides to enroll in an English Learners class and meets a host of new people who teach her to value herself beyond the narrow perspective of her family.","Hindi, Tamil, Telugu",India,13 wins & 25 nominations,https://m.media-amazon.com/images/M/MV5BMjQ5YWVmYmYtOWFiZC00NGMxLWEwODctZDM2MWI4YWViN2E5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",N/A,7.8,"39,603",tt2181931,movie,30 Nov 2016,"$1,862,086",N/A,N/A,True
Koi Jaane Na,2021,N/A,02 Apr 2021,141 min,Thriller,"Amin Hajee, Ajinkya Nikam",Amin Hajee,"Kunal Kapoor, Amyra Dastur, Elli Avrram",Kabir Kapoor is a known novelist but currently in litigation with his publisher whose book he is delaying since two years.Kabir's former wife Rashmi now married to his publisher suspects he writes secretly for someone as he has no source of income and she has taken everything of his in alimony.Kabir travels to Panchgani for a change where he meets Suhana on the way while Rashmi's has hired a detective Ricky Rosario to find about Kabir's secret income.Ricky finds that Kabir is also a ghost writer Zaran Khan writing for small publications and starts to blackmail him.But someone turns into his novel character of Zaran Khan and kills people coming on Kabir's way as per the novel.Suhana tries to save him and they both become suspects in the recent murders.,Hindi,India,1 win,https://m.media-amazon.com/images/M/MV5BZjFmOTQxNTMtMTU0Mi00OTUwLWE4OTYtNDRlZjQxNTM0Nzk1XkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",N/A,3.6,"1,190",tt13989310,movie,N/A,N/A,N/A,N/A,True
72 Hoorain,2019,N/A,07 Jul 2023,80 min,"Crime, Drama, Thriller",Sanjay Puran Singh Chauhan,Anil Pandey,"Saru Maini, Mukesh Agrohari, Aishwarya Arora","At an extremists training facility, Bilal and Hakim are instructed that if they give their lives in the name of Allah, they will be rewarded with bahattar hoorain (72 beautiful virgins) in heaven. Following their terror attack in Mumbai, Hakim and Bilal are surprised to not end up in the arms of a beautiful virgin, but in a hospital where their ghosts watch an autopsy being performed on their bodies. 'Bahattar Hoorain' is a dark comedy that examines the real consequences of violent extremism and urges that every human life should be treated with dignity and respect.","Hindi, Malayalam, Marathi, Tamil, Telugu",India,1 win,https://m.media-amazon.com/images/M/MV5BN2FkZTZlZGEtNTFlNi00NjVmLWE1MDYtNWEwYTU5ODE4MzQ4XkEyXkFqcGdeQXVyMTI5MDUyMTM1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"16,283",tt13491678,movie,N/A,N/A,N/A,N/A,True
Rustom,2016,Not Rated,12 Aug 2016,148 min,"Crime, Drama, Thriller",Tinu Suresh Desai,Vipul K. Rawal,"Akshay Kumar, Ileana D'Cruz, Arjan Bajwa","Naval officer Rustom Pavri returns from his posting and finds his wife Cynthia is away from home since last two days his marriages is on the rocks when he finds love letters in cupboard which indicates that Cynthia has found love in one of his friend Vikram Makhija an arrogant business tycoon ,Rustom then issues a pistol from Naval Ship's Armory and shoots Vikram three times in his chest living him dead and surrender himself to senior inspector Vincent Lobo.","Hindi, English",India,3 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BNWFiMGZlMWUtYzBlNy00ZDlmLTg3YjYtNDBmOWQ4Y2ZjMjlkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}]",N/A,7.0,"28,336",tt5165344,movie,04 Apr 2017,"$1,087,419",N/A,N/A,True
Chup Chup Ke,2006,Not Rated,09 Jun 2006,164 min,"Comedy, Drama, Romance","Priyadarshan, Kookie Gulati","Priyadarshan, Neeraj Vora, Meccartin","Shahid Kapoor, Kareena Kapoor, Om Puri","A young man named Jeetu finds himself in debt with his father receiving harassing visits from money-lenders. Although his father is scolded daily for his non-progress in their debts, his mother and his fiancée Pooja believe he can successfully fulfill his task and live happily, but burdened with high debt, Jeetu sees suicide as his only way out of the situation (insurance money for the family). Unfortunately for him, taking a plunge off a dock into a placid ocean doesn't kill him. He awakens in a boat with two very interesting characters, Gundya and his servant Bundya. In the cost of putting Jeetu in a hospital and saving his life, Gundya and Bundya believe Jeetu owes them a debt. Already in much debt , Jeetu decides to play off that he is deaf and mute. He then finds himself mortgaged to a wealthy man, Prabhart Singh in return for Gundya's confiscated boat and thus ends up as a servant boy at a mansion in Kolkata. It is here where he meets Prabhart's beautiful daughter Meenakshi and mute (not dumb or deaf) niece Shruti. After many convolutions later, Jeetu and Shruti fall in love, and Mangal (Shruti's brother and the true head of the family) is ready to have them married, but something from Jeetu 's past comes back to haunt him .",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMTg3MTMzNjUwOF5BMl5BanBnXkFtZTcwODgxODMzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"12,496",tt0464160,movie,02 Mar 2017,"$334,618",N/A,N/A,True
Hate Story,2012,Not Rated,20 Apr 2012,140 min,"Drama, Thriller",Vivek Agnihotri,"Vikram Bhatt, Rohit Malhotra","Nikhil Dwivedi, Gulshan Devaiah, Paoli Dam","After a powerful businessman has her baby forcefully aborted, Kaavya Krishna uses her body as a sexual weapon to destroy his empire, brick by brick.",Hindi,India,1 win,https://m.media-amazon.com/images/M/MV5BMzhkN2E3ZDItZGUzOC00ZDA1LTlhMTktMjc5NGI0NjM5ZDRjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,"3,945",tt2309987,movie,19 Nov 2016,N/A,N/A,N/A,True
Tees Maar Khan,2010,Not Rated,24 Dec 2010,135 min,"Comedy, Crime",Farah Khan,"Vishal Dadlani, Anvita Dutt, Ashmith Kunder","Akshay Kumar, Katrina Kaif, Akshaye Khanna","A stylish Tabrez Khan (Akshay Kumar) is depicted as Tees Maar Khan, a smart conman. He proclaims himself as semi-Robin Hood, who steals from the rich but does not give it to the poor. His life revolves around robbery and frequent visits to jail. Hired by a robbers' duo, the Johari brothers (Rajiv and Raghu), he plans to rob a train full of treasures, thus making it the greatest phenomenon in his life. On his way, he encounters an Oscar-obsessed film star (Akshaye Khanna), a seductive-and-desiring-to-be-a-superstar-some-day girlfriend (Katrina Kaif) and to accompany him in this heist, an entire village. What follows is a brain-less comedy that heralds the Tees Maar Khan's journey through mystics of the robbery.",Hindi,India,11 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BNTk1NTM5NDYwNl5BMl5BanBnXkFtZTcwMDI2MTYxNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}]",N/A,2.6,"14,004",tt1572311,movie,18 Nov 2016,"$1,076,443",N/A,N/A,True
Mard Ko Dard Nahin Hota,2018,N/A,22 Mar 2019,134 min,"Action, Comedy, Drama",Vasan Bala,"Vasan Bala, Santanu Ghatak, Hussain Haidry","Abhimanyu Dasani, Radhika Madan, Mahesh Manjrekar","It is a story of a young boy Surya who has a rare condition of Congenital Insensitivity to pain meaning he can not feel pain, and he sets out to learn martial arts and hunt down muggers.","Hindi, English, Marathi, Malayalam",India,7 wins & 24 nominations,https://m.media-amazon.com/images/M/MV5BMjkwZTVlODQtODUzOS00NGJkLWFlNmItYTc2MDVhM2NhNzcwXkEyXkFqcGdeQXVyOTg4MzcyNzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"8,946",tt8055888,movie,N/A,N/A,N/A,N/A,True
Hum Dil De Chuke Sanam,1999,Not Rated,18 Jun 1999,188 min,"Comedy, Drama, Musical",Sanjay Leela Bhansali,"Sanjay Leela Bhansali, Amrik Gill, Pratap Karvat","Aishwarya Rai Bachchan, Salman Khan, Ajay Devgn","When Sameer asks for Nandini's hand in marriage her family refuses. They have already chosen a husband for their daughter. Sameer returns to Italy. When Vanraj, Nandini's husband realizes that his new bride has been in love with someone else, he is prepared to sacrifice his love for her and take her to Italy to be reunited with her true love, Sameer.",Hindi,"India, Hungary",35 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BMmZmZDAzZWEtYmNkNC00NWVhLWJkOGMtZTA0NjUwZGUxYjc3XkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"19,657",tt0150992,movie,30 Nov 2016,"$1,007,446",N/A,N/A,True
Sadak 2,2020,TV-MA,28 Aug 2020,133 min,"Action, Drama",Mahesh Bhatt,"Pushpdeep Bhardwaj, Mahesh Bhatt, Suhrita Sengupta","Alia Bhatt, Priyanka Bose, Sanjay Dutt",Aarya Desai is on mission to expose fake Godman Gyan Prakash whom she also holds responsible for death of her mother.But Arya is captured and sent to asylum by her step mother Nandini and gang of Gyan Prakash from where she escapes.Ravi runs a tours and travel business he gets hallucinations of dead wife Pooja and wants to commit suicide.Arya comes to Ravi to hire his taxi and take her to Kailash mountains at first he ignores her but decides to help after finding her story. Vishal boyfriend of Arya joins them on the trip but Ravi is suspicious about him and gets feelings from inside and Pooja's hallucinations that he should help Arya in what she is doing in order to expose the Gyan Prakash.,Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BNGYwZDYzOWUtZWRmMS00OTg3LWIxNjctMWY5YWM4ZWYzM2FmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '1.2/10'}]",N/A,1.2,"96,654",tt7886848,movie,N/A,N/A,N/A,N/A,True
